id,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado
6656,16,2019-08-24,11:00,Atletico-MG,Bahia,4-2-3-1,4-3-3,R. Marques Santana,R. Machado Marques,Bahia,Estádio Raimundo Sampaio,0,1,MG,BA
6657,16,2019-08-24,17:00,Gremio,Athletico-PR,4-2-3-1,4-1-4-1,Renato Gaúcho,T. Retzalff Nunes,Gremio,Arena do Grêmio,2,1,RS,PR
6658,16,2019-08-25,16:00,Goias,Internacional,4-4-2,4-3-3,N. da Silveira Júnior,O. Hellmann,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),2,1,GO,RS
6659,16,2019-08-25,16:00,Vasco,Sao Paulo,4-1-4-1,4-1-4-1,V. Luxemburgo da Silva,A. Stival,Vasco,Estádio Vasco da Gama,2,0,RJ,SP
6660,16,2019-08-25,16:00,Santos,Fortaleza,4-3-3,4-2-3-1,J. Sampaoli Moya,J. Mannarino,ausente,Estádio Urbano Caldeira,3,3,SP,CE
6663,16,2019-08-25,19:00,CSA,Cruzeiro,4-1-2-1-2,4-2-3-1,A. Fucks,R. Ceni,ausente,Estádio Rei Pelé,1,1,AL,MG
6661,16,2019-08-25,19:01,Ceara,Flamengo,4-2-3-1,4-1-4-1,E. Alves Moreira,J. Pinheiro de Jesus,Flamengo,Arena Castelão,0,3,CE,RJ
6662,16,2019-08-25,19:01,Avai,Corinthians,4-3-3,4-1-4-1,A. Valentim do Carmo Neto,F. Carille,ausente,  Ressacada,1,1,SC,SP
6664,16,2019-08-26,20:00,Botafogo,Chapecoense,4-2-3-1,4-2-3-1,E. de Souza Barroca,E. Hartkopp,ausente,Estádio Nilton Santos,0,0,RJ,SC
6666,17,2019-08-31,11:02,Sao Paulo,Gremio,4-2-3-1,4-2-3-1,A. Stival,Renato Gaúcho,ausente, Morumbi,0,0,SP,RS
6667,17,2019-08-31,17:01,Bahia,CSA,4-2-3-1,4-4-2,R. Machado Marques,A. Fucks,Bahia,Itaipava Arena Fonte Nova,1,0,BA,AL
6669,17,2019-08-31,19:01,Athletico-PR,Ceara,4-2-3-1,4-2-3-1,T. Retzalff Nunes,E. Alves Moreira,Athletico-PR,Estádio Joaquim Américo Guimarães,1,0,PR,CE
6668,17,2019-08-31,19:02,Chapecoense,Santos,5-4-1,3-4-3,E. Hartkopp,J. Sampaoli Moya,Santos,Arena Condá,0,1,SC,SP
6670,17,2019-08-31,21:00,Internacional,Botafogo,4-1-4-1,4-1-4-1,O. Hellmann,E. de Souza Barroca,Internacional,Estádio José Pinheiro Borda,3,2,RS,RJ
6671,17,2019-09-01,16:00,Flamengo,Palmeiras,4-2-3-1,4-1-4-1,J. Pinheiro de Jesus,L. Scolari,Flamengo, Maracanã,3,0,RJ,SP
6672,17,2019-09-01,16:02,Fortaleza,Goias,4-2-3-1,4-4-1-1,J. Mannarino,N. da Silveira Júnior,Fortaleza,Arena Castelão,2,0,CE,GO
6673,17,2019-09-01,19:00,Cruzeiro,Vasco,4-2-3-1,4-1-4-1,R. Ceni,V. Luxemburgo da Silva,Cruzeiro, Mineirão,1,0,MG,RJ
6674,17,2019-09-01,19:01,Corinthians,Atletico-MG,4-1-4-1,4-1-4-1,F. Carille,R. Marques Santana,Corinthians,Neo Química Arena,1,0,SP,MG
6675,17,2019-09-02,20:00,Fluminense,Avai,4-1-4-1,4-1-4-1,O. de Oliveira Filho,A. Valentim do Carmo Neto,Avai, Maracanã,0,1,RJ,SC
6677,18,2019-09-07,11:01,Corinthians,Ceara,4-1-4-1,4-2-3-1,F. Carille,E. Alves Moreira,ausente,Neo Química Arena,2,2,SP,CE
6676,18,2019-09-07,11:02,Vasco,Bahia,4-2-3-1,4-3-3,V. Luxemburgo da Silva,R. Machado Marques,Bahia,Estádio Vasco da Gama,0,2,RJ,BA
